fid,DN,X_Coord,Y_Coord
"260","58",,
"261","56",,
"262","54",,
"263","52",,
"264","53",,
"265","57",,
"266","58",,
"267","57",,
"268","55",,
"269","54",,
"270","53",,
"271","57",,
"272","59",,
"273","62",,
"274","65",,
"275","64",,
"276","62",,
"277","60",,
"278","59",,
"279","59",,
"280","59",,
"281","54",,
"282","56",,
"283","53",,
"284","53",,
"285","51",,
"286","56",,
"287","59",,
"288","61",,
"289","60",,
"290","57",,
"291","55",,
"292","54",,
"293","53",,
"294","58",,
"295","61",,
"296","63",,
"297","61",,
"298","61",,
"299","60",,
"300","57",,
"301","53",,
"302","52",,
"303","51",,
"304","52",,
"305","53",,
"306","53",,
"307","52",,
"308","51",,
"309","52",,
"310","53",,
"311","55",,
"312","54",,
"313","53",,
"314","55",,
"315","57",,
"316","60",,
"317","63",,
"318","62",,
"319","59",,
"320","56",,
"321","52",,
"322","53",,
"323","59",,
"324","61",,
"325","60",,
"326","59",,
"327","59",,
"328","57",,
"329","54",,
"330","57",,
"331","54",,
"332","58",,
"333","51",,
"334","50",,
"335","51",,
"336","51",,
"337","50",,
"338","51",,
"339","57",,
"340","56",,
"341","59",,
"342","61",,
"343","60",,
"344","58",,
"345","51",,
"346","52",,
"347","57",,
"348","58",,
"349","59",,
"350","56",,
"351","57",,
"352","58",,
"353","57",,
"354","58",,
"355","57",,
"356","52",,
"357","51",,
"358","52",,
"359","52",,
"360","51",,
"361","52",,
"362","57",,
"363","58",,
"364","59",,
"365","60",,
"366","59",,
"367","58",,
"368","57",,
"369","59",,
"370","58",,
"371","54",,
"372","56",,
"373","54",,
"374","58",,
"375","59",,
"376","60",,
"377","59",,
"378","58",,
"379","53",,
"380","53",,
"381","54",,
"382","53",,
"383","54",,
"384","58",,
"385","59",,
"386","60",,
"387","61",,
"388","63",,
"389","62",,
"390","60",,
"391","53",,
"392","57",,
"393","60",,
"394","63",,
"395","61",,
"396","59",,
"397","54",,
"398","53",,
"399","52",,
"400","53",,
"401","53",,
"402","52",,
"403","51",,
"404","52",,
"405","54",,
"406","62",,
"407","65",,
"408","63",,
"409","61",,
"410","58",,
"411","58",,
"412","59",,
"413","60",,
"414","59",,
"415","59",,
"416","61",,
"417","64",,
"418","65",,
"419","62",,
"420","51",,
"421","52",,
"422","50",,
"423","51",,
"424","63",,
"425","62",,
"426","55",,
"427","57",,
"428","53",,
"429","57",,
"430","58",,
"431","53",,
"432","59",,
"433","57",,
"434","57",,
"435","53",,
"436","52",,
"437","53",,
"438","53",,
"439","58",,
"440","59",,
"441","60",,
"442","61",,
"443","60",,
"444","56",,
"445","58",,
"446","59",,
"447","56",,
"448","58",,
"449","59",,
"450","60",,
"451","61",,
"452","60",,
"453","58",,
"454","60",,
"455","62",,
"456","60",,
"457","58",,
"458","56",,
"459","55",,
"460","54",,
"461","53",,
"462","54",,
"463","54",,
"464","53",,
"465","52",,
"466","57",,
"467","58",,
"468","56",,
"469","63",,
"470","62",,
"471","59",,
"472","56",,
"473","52",,
"474","55",,
"475","54",,
"476","62",,
"477","64",,
"478","63",,
"479","58",,
"480","58",,
"481","59",,
"482","58",,
"483","57",,
"484","56",,
"485","55",,
"486","53",,
"487","53",,
"488","53",,
