n6373523158,6373523158,1,,,Ardre Domarring,archaeological_site,,18.734,57.360;;
n6373528707,6373528707,1,,,Liffridesskeppen,archaeological_site,,18.668,57.355;;
n6373556118,6373556118,1,,,Digarojr Skeppssättning,archaeological_site,,18.638,57.308;;
n6373556119,6373556119,1,,,Digarojr Röse,archaeological_site,,18.637,57.309;;
n6373556120,6373556120,1,,,Digarojr Cist,archaeological_site,,18.638,57.309;;
n6373556121,6373556121,1,,,Digarojr Gravfält,archaeological_site,,18.639,57.312;;
n6373566314,6373566314,1,,,Lau Prästgårdsruin,ruins,,18.621,57.283;;
n6373566315,6373566315,1,,,Burs 65:1 Ringcross,wayside_cross,,18.515,57.243;;
n6373569137,6373569137,1,,,Rojrhagen,archaeological_site,,18.403,57.283;;
n6373614409,6373614409,1,,,Anga 31:2,archaeological_site,,18.706,57.478;;
n6373616301,6373616301,1,,,Kräklingbo 12:1,archaeological_site,,18.707,57.450;;
n6373633487,6373633487,1,,,Bjärs Hög,archaeological_site,Norrlanda 16:1,18.704,57.518;;
n6373633488,6373633488,1,,,Norrlanda 20:1,archaeological_site,,18.712,57.518;;
n6373633489,6373633489,1,,,Norrlanda 25:1,archaeological_site,,18.712,57.519;;
n6373633490,6373633490,1,,,Norrlanda 29:1 röse,archaeological_site,,18.727,57.519;;
n6373633491,6373633491,1,,,Norrlanda 29:1 skeppssättning,archaeological_site,,18.727,57.519;;
n6373633492,6373633492,1,,,Norrlanda 28:1,archaeological_site,,18.725,57.518;;
n6373633493,6373633493,1,,,Norrlanda 7:1,archaeological_site,,18.722,57.518;;
n6373633495,6373633495,1,,,Trullhalsar Gravfält,archaeological_site,,18.742,57.507;;
n6373661542,6373661542,1,,,Butravjs Skeppssättningar,archaeological_site,,18.669,57.530;;
n6373668146,6373668146,1,,,Vallstena 72:1,archaeological_site,,18.658,57.591;;
n6373677147,6373677147,1,,,Dalhem 45:1,wayside_cross,,18.536,57.553;;
n6373677148,6373677148,1,,,Dalhem 46:1,wayside_cross,,18.532,57.553;;
n6373677150,6373677150,1,,,Nordens största gravklot,archaeological_site,,18.476,57.497;;
n6373692864,6373692864,1,,,Sjonhem 16:1,archaeological_site,,18.497,57.472;;
n6373695001,6373695001,1,,,Gräne Skeppssättning,archaeological_site,,18.340,57.442;;
n6373697292,6373697292,1,,,Buttle 266,archaeological_site,,18.502,57.395;;
n6373703775,6373703775,1,,,Sanda 58:1,archaeological_site,,18.207,57.455;;
n6373708921,6373708921,1,,,Västergarn 19:1,archaeological_site,,18.196,57.465;;
n6373725189,6373725189,1,,,Gnisvärd skeppssättning #2,archaeological_site,Tofta 15:1,18.141,57.507;;
n6373725190,6373725190,1,,,Gnisvärd skeppssättning #3,archaeological_site,Tofta 17:1,18.141,57.506;;
n6373725205,6373725205,1,,,Gnisvärd dolmen,archaeological_site,Tofta 143:3,18.141,57.509;;
n6373726985,6373726985,1,,,Gnisvärds private skeppssättning,monument,,18.126,57.507;;
n6373731494,6373731494,1,,,Stenkumla 96:1,archaeological_site,,18.222,57.524;;
n6373732851,6373732851,1,,,Endre 17:1,archaeological_site,,18.394,57.613;;
n6373736775,6373736775,1,,,Endre 35:1,archaeological_site,,18.387,57.622;;
n6373741789,6373741789,1,,,Visby 70:1,wayside_cross,,18.299,57.634;;
n6373747906,6373747906,1,,,Boge 33:1,archaeological_site,,18.735,57.628;;
n6373747978,6373747978,1,,,Boge 4:1,wayside_cross,,18.758,57.702;;
n6373753073,6373753073,1,,,Domarlunden,archaeological_site,,18.817,57.784;;
n6373753074,6373753074,1,,,Lajkarhajd,archaeological_site,,18.815,57.785;;
n6373753075,6373753075,1,,,Sangelstainen,archaeological_site,,18.810,57.783;;
n6373759857,6373759857,1,,,Rute 23:1,memorial,,18.948,57.798;;
n6373764149,6373764149,1,,,Majsterrojr skeppssättning,archaeological_site,,18.734,57.615;;
n6373771303,6373771303,1,,,Lilla Bjärs Gravfält,archaeological_site,,18.541,57.790;;
n6374174464,6374174464,1,,,Barshalder Skeppssättning,archaeological_site,Grötlingbo 4:3,18.321,57.102;;
n6374182223,6374182223,1,,,Havdhem Skeppssättningar,archaeological_site,,18.342,57.181;;
n6374182224,6374182224,1,,,Bildstenen vid Stenbro,monument,,18.211,57.232;;
n6374203622,6374203622,1,,,Djupvik Skeppssättning,archaeological_site,Eksta 76:1,18.151,57.307;;
n6374234542,6374234542,1,,,Rannarve Röse,archaeological_site,,18.226,57.398;;
n6374238908,6374238908,1,,,Barshalder Cairn,archaeological_site,,18.321,57.102;;
n6374256479,6374256479,1,,,,,,18.240,57.269;;
n6590316187,6590316187,1,,,,archaeological_site,,18.431,57.170;;
n6590316188,6590316188,1,,,,archaeological_site,,18.435,57.170;;
n6590325685,6590325685,1,,,,archaeological_site,,18.426,57.168;;
n6634264854,6634264854,1,,,Sankt Göransporten,city_gate,,18.300,57.645;;
n6634294872,6634294872,1,,,Norderport,city_gate,,18.301,57.645;;
n6641175640,6641175640,1,,,Galgen,gallows,,18.307,57.650;;
n6641525538,6641525538,1,,,,,,18.301,57.642;;
n6641693084,6641693084,1,,,Linné,memorial,,18.293,57.643;;
n6641861710,6641861710,1,,,Dalmansporten,city_gate,,18.301,57.642;;
n6651668069,6651668069,1,,,Järnåldersgrav,tomb,,17.973,57.289;;
n6658465706,6658465706,1,level_crossing,,,,,18.841,57.896;;
n6658465707,6658465707,1,level_crossing,,,,,18.842,57.897;;
n6658465725,6658465725,1,level_crossing,,,,,18.858,57.903;;
n6672514930,6672514930,1,,,Kalkugn,building,,19.057,57.866;;
n6699987258,6699987258,1,,,,ruins,,18.306,57.648;;
n6700033551,6700033551,1,,,Hit rann blodet,memorial,,18.289,57.638;;
n7292507079,7292507079,1,,,Albatrossmonumentet,memorial,,18.859,57.422;;
n7620870942,7620870942,1,,,,archaeological_site,,18.433,57.173;;
n7620870943,7620870943,1,,,,archaeological_site,,18.437,57.172;;
n7620870944,7620870944,1,,,,archaeological_site,,18.440,57.172;;
n7620870945,7620870945,1,,,,archaeological_site,,18.438,57.173;;
n7620870946,7620870946,1,,,,archaeological_site,,18.429,57.173;;
"n7620891111,7620891111,1,,,Hagrojr,archaeological_site,""Hagröjr";"Hag rojr"",18.499,57.189";
n8117286489,8117286489,1,,,,ruins,,18.762,57.425;;
n8729113331,8729113331,1,,,,memorial,,18.339,57.581;;
n8900440073,8900440073,1,,,Flyktingarna Från Estland,memorial,,18.810,57.706;;
n8995992315,8995992315,1,,,,yes,,18.096,57.275;;
n9023836848,9023836848,1,level_crossing,,,,,18.526,57.542;;
