wkt_geom;id;left;top;right;bottom;NUMPOINTS
Polygon ((18.20035053212096798 56.58711480807085792, 18.28695307249941138 56.7371148080708565, 18.46015815325629816 56.7371148080708565, 18.54676069363474156 56.58711480807085792, 18.46015815325629816 56.43711480807085934, 18.28695307249941138 56.43711480807085934, 18.20035053212096798 56.58711480807085792));30;18.200350532120968;56.73711480807086;18.54676069363474;56.43711480807086;0
Polygon ((17.68073528985030407 56.88711480807085508, 17.76733783022874746 57.03711480807085366, 17.94054291098563425 57.03711480807085366, 18.02714545136407764 56.88711480807085508, 17.94054291098563425 56.7371148080708565, 17.76733783022874746 56.7371148080708565, 17.68073528985030407 56.88711480807085508));17;17.680735289850304;57.037114808070854;18.027145451364078;56.73711480807086;1
Polygon ((17.68073528985030407 57.18711480807085934, 17.76733783022874746 57.33711480807085792, 17.94054291098563425 57.33711480807085792, 18.02714545136407764 57.18711480807085934, 17.94054291098563425 57.03711480807085366, 17.76733783022874746 57.03711480807085366, 17.68073528985030407 57.18711480807085934));16;17.680735289850304;57.33711480807086;18.027145451364078;57.037114808070854;4
Polygon ((17.94054291098563425 57.93711480807085934, 18.02714545136407764 58.08711480807085792, 18.20035053212096443 58.08711480807085792, 18.28695307249940782 57.93711480807085934, 18.20035053212096443 57.78711480807085366, 18.02714545136407764 57.78711480807085366, 17.94054291098563425 57.93711480807085934));19;17.940542910985634;58.08711480807086;18.286953072499408;57.787114808070854;3
Polygon ((17.68073528985030407 56.58711480807085792, 17.76733783022874746 56.7371148080708565, 17.94054291098563425 56.7371148080708565, 18.02714545136407764 56.58711480807085792, 17.94054291098563425 56.43711480807085934, 17.76733783022874746 56.43711480807085934, 17.68073528985030407 56.58711480807085792));18;17.680735289850304;56.73711480807086;18.027145451364078;56.43711480807086;1
Polygon ((17.94054291098563425 57.33711480807085792, 18.02714545136407764 57.4871148080708565, 18.20035053212096443 57.4871148080708565, 18.28695307249940782 57.33711480807085792, 18.20035053212096443 57.18711480807085934, 18.02714545136407764 57.18711480807085934, 17.94054291098563425 57.33711480807085792));21;17.940542910985634;57.48711480807086;18.286953072499408;57.18711480807086;2
Polygon ((17.94054291098563425 57.63711480807085508, 18.02714545136407764 57.78711480807085366, 18.20035053212096443 57.78711480807085366, 18.28695307249940782 57.63711480807085508, 18.20035053212096443 57.4871148080708565, 18.02714545136407764 57.4871148080708565, 17.94054291098563425 57.63711480807085508));20;17.940542910985634;57.787114808070854;18.286953072499408;57.48711480807086;1
Polygon ((17.94054291098563425 56.7371148080708565, 18.02714545136407764 56.88711480807085508, 18.20035053212096443 56.88711480807085508, 18.28695307249940782 56.7371148080708565, 18.20035053212096443 56.58711480807085792, 18.02714545136407764 56.58711480807085792, 17.94054291098563425 56.7371148080708565));23;17.940542910985634;56.887114808070855;18.286953072499408;56.58711480807086;2
Polygon ((17.94054291098563425 57.03711480807085366, 18.02714545136407764 57.18711480807085934, 18.20035053212096443 57.18711480807085934, 18.28695307249940782 57.03711480807085366, 18.20035053212096443 56.88711480807085508, 18.02714545136407764 56.88711480807085508, 17.94054291098563425 57.03711480807085366));22;17.940542910985634;57.18711480807086;18.286953072499408;56.887114808070855;0
Polygon ((18.7199657743916319 56.88711480807085508, 18.80656831477007529 57.03711480807085366, 18.97977339552696208 57.03711480807085366, 19.06637593590540547 56.88711480807085508, 18.97977339552696208 56.7371148080708565, 18.80656831477007529 56.7371148080708565, 18.7199657743916319 56.88711480807085508));41;18.719965774391632;57.037114808070854;19.066375935905405;56.73711480807086;0
